siren_nic,code_attraction_centre,code_commune_geo,name_commune_src_attr,name_attraction_centre,category_attraction_centre,code_region,name_region,code_department,code_commune_geo.y,name_commune,population_commune,latitude,longitude,siren.x,nic.x,siret,date_creation,year_workforce_record_update,date_latest_update,headquarter,date_creation_legal_unit,category,legal_shop_name,acronym_shop,popular_name_1,popular_name_2,popular_name_3,owner_gender,owner_lastname,owner_lastname_chosen,owner_firstname_1,owner_firstname_2,owner_firstname_3,owner_firstname_4,owner_firstname_used,owner_pseudonym,apen_code,rna_registration_code,social_category,workforce_category,year_workforce_survey,nic_centralized,date_sirene_last_update,category_business,year_category_survey,shop_address_complement_1,name_commune_src_etab,shop_address_complement_2,franchise_1,franchise_2,franchise_3,shop_name_public,shop_address_1,shop_address_2,population_attr_centre,siren.y,nic.y,franchise,carte_blanche,itelis,kalixia,sante_clair,seveane,promotion,audio_service,image date,website,shop_address_python,shop_lat,shop_long
80143163619,520,73204,Le Pont-de-Beauvoisin,Le Pont-de-Beauvoisin,12,84,Auvergne-Rhône-Alpes,73,204,Le Pont-de-Beauvoisin,2106,45.53564356,5.681423499,801431636,19,8.01E+13,01-06-2014 00:00,2019,27-10-2021 09:08,TRUE,01-06-2014 00:00,5710,HEMERA,,,,,,,,,,,,,,47.78A,,N,2,2019,19,27-10-2021 09:08,PME,2019,,LE PONT-DE-BEAUVOISIN,,ALAIN AFFLELOU,,,,  ESPACE ECONOMIQUE DE LA BARONNIE 73330,  ,8467,,,,,,,,,,,,,ESPACE+ECONOMIQUE+DE+LA+BARONNIE+73330+Le Pont-de-Beauvoisin,45.535634,5.674089
81157403724,520,73204,Le Pont-de-Beauvoisin,Le Pont-de-Beauvoisin,12,84,Auvergne-Rhône-Alpes,73,204,Le Pont-de-Beauvoisin,2106,45.53564356,5.681423499,811574037,24,8.12E+13,01-08-2015 00:00,2019,27-10-2021 09:17,FALSE,26-05-2015 00:00,5710,GENOP,,,,,,,,,,,,,,47.78A,,N,11,2019,16,08-02-2022 04:24,PME,2019,,LE PONT-DE-BEAUVOISIN,,,,,,  ZI DE LA BARONNIE 73330,  ,8467,,,,,,,,,,,,,ZI+DE+LA+BARONNIE+73330+Le Pont-de-Beauvoisin,45.53564356,5.681423499
52508065125,583,32208,Lectoure,Lectoure,11,76,Occitanie,32,208,Lectoure,4027,43.94050306,0.650762392,525080651,25,5.25E+13,01-07-2021 00:00,,27-07-2021 04:19,FALSE,13-09-2010 00:00,5710,OPTIQUE DE LA TEREZE,,,,,,,,,,,,,,47.78A,,N,2,2019,17,27-10-2021 08:33,PME,2019,,LECTOURE,,,,,,96 RUE TIOLE 32700,  ,6681,525080651,25,,0,0,0,0,0,,0,01-10-2021 00:00,https://lalunetterie-lectoure.fr/,96+RUE+TIOLE+32700+Lectoure,43.934555,0.620547
75011769917,583,32208,Lectoure,Lectoure,11,76,Occitanie,32,208,Lectoure,4027,43.94050306,0.650762392,750117699,17,7.50E+13,07-03-2012 00:00,,23-03-2019 03:59,TRUE,07-03-2012 00:00,5499,GW OPTIQUE,,,,,,,,,,,,,,47.78A,,,NN,,17,09-07-2020 10:29,PME,2019,,LECTOURE,,,,,,50 RUE TIOLE 32700,  ,6681,750117699,17,,,,,,,,,,,50+RUE+TIOLE+32700+Lectoure,43.934098,0.62262
83802199615,583,32208,Lectoure,Lectoure,11,76,Occitanie,32,208,Lectoure,4027,43.94050306,0.650762392,838021996,15,8.38E+13,28-02-2018 00:00,2019,27-10-2021 09:40,TRUE,28-02-2018 00:00,5499,GO2,,,,,,,,,,,,,,47.78A,,,1,2019,15,27-10-2021 09:40,PME,2019,,LECTOURE,,,,,GASCOGNE OPTIQUE, LD LES MOULINS DE LA JUSTICE 32700,  ,6681,838021996,15,,0,0,0,0,0,,0,01-09-2018 00:00,https://gascogneoptique-lectoure.monopticien.com/,LD+LES+MOULINS+DE+LA+JUSTICE+32700+Lectoure,43.934758,0.64078
47787903538,580,38001,Les Abrets en Dauphiné,Les Abrets en Dauphiné,11,84,Auvergne-Rhône-Alpes,38,1,Les Abrets en Dauphiné,6415,45.54189406,5.593424262,477879035,38,4.78E+13,01-06-2013 00:00,2019,27-10-2021 08:12,TRUE,10-07-2004 00:00,5499,LES OPTICIENS ABRESIENS (LOA),LOA,,,,,,,,,,,,,47.78A,,N,2,2019,38,27-10-2021 08:12,PME,2019,,LES ABRETS-EN-DAUPHINE,,BLEU CLAIR OPTICIEN,,,BLEU CLAIR OPTICIEN,72 RUE DE LA REPUBLIQUE 38490,  ,6415,,,,,,,,,,,,,72+RUE+DE+LA+REPUBLIQUE+38490+Les Abrets en Dauphiné,45.537039,5.577206
82266092425,580,38001,Les Abrets en Dauphiné,Les Abrets en Dauphiné,11,84,Auvergne-Rhône-Alpes,38,1,Les Abrets en Dauphiné,6415,45.54189406,5.593424262,822660924,25,8.23E+13,30-09-2016 00:00,2019,27-10-2021 09:28,FALSE,20-09-2016 00:00,5710,LA OPTIC,,,,,,,,,,,,,,47.78A,,N,1,2019,17,27-10-2021 09:28,PME,2019,,LES ABRETS-EN-DAUPHINE,,,,,,3 RUE ARISTIDE BRIAND 38490,  ,6415,,,,,,,,,,,,,3+RUE+ARISTIDE+BRIAND+38490+Les Abrets en Dauphiné,45.537701,5.585091
51218014222,480,27016,Les Andelys,Les Andelys,11,28,Normandie,27,16,Les Andelys,8199,49.24590868,1.428050866,512180142,22,5.12E+13,08-02-2016 00:00,2019,27-10-2021 08:18,TRUE,30-04-2009 00:00,5499,SARL ENNEZEAU,,,,,,,,,,,,,,47.78A,,,1,2019,22,27-10-2021 08:18,PME,2019,,LES ANDELYS,,,,,,11 RUE PIERRE CORNEILLE 27700,  ,9729,,,,,,,,,,,,,11+RUE+PIERRE+CORNEILLE+27700+Les Andelys,49.247241,1.417415
54365012148,480,27016,Les Andelys,Les Andelys,11,28,Normandie,27,16,Les Andelys,8199,49.24590868,1.428050866,543650121,48,5.44E+13,01-01-1900 00:00,2019,27-10-2021 08:46,TRUE,01-01-1954 00:00,5710,CHEVALLIER,,,,,,,,,,,,,,47.78A,,,2,2019,48,27-10-2021 08:46,PME,2019,,LES ANDELYS,,,,,,1 RUE PIERRE CORNEILLE 27700,  ,9729,,,,,,,,,,,,,1+RUE+PIERRE+CORNEILLE+27700+Les Andelys,49.247578,1.417415
81161251418,480,27016,Les Andelys,Les Andelys,11,28,Normandie,27,16,Les Andelys,8199,49.24590868,1.428050866,811612514,18,8.12E+13,27-05-2015 00:00,2019,27-10-2021 09:17,TRUE,27-05-2015 00:00,5499,OPTIC LES ANDELYS,,,,,,,,,,,,,,47.78A,,,1,2019,18,27-10-2021 09:17,PME,2019,,LES ANDELYS,,,,,,31 PL NICOLAS POUSSIN 27700,  ,9729,,,,,,,,,,,,,31+PL+NICOLAS+POUSSIN+27700+Les Andelys,49.246655,1.417906
