"","siren_nic","code_attraction_centre","code_commune_geo","name_commune_src_attr","name_attraction_centre","category_attraction_centre","code_region","name_region","code_department","code_commune_geo.y","name_commune","population_commune","latitude","longitude","siren.x","nic.x","siret","date_creation","year_workforce_record_update","date_latest_update","headquarter","date_creation_legal_unit","category","legal_shop_name","acronym_shop","popular_name_1","popular_name_2","popular_name_3","owner_gender","owner_lastname","owner_lastname_chosen","owner_firstname_1","owner_firstname_2","owner_firstname_3","owner_firstname_4","owner_firstname_used","owner_pseudonym","apen_code","rna_registration_code","social_category","workforce_category","year_workforce_survey","nic_centralized","date_sirene_last_update","category_business","year_category_survey","shop_address_complement_1","name_commune_src_etab","shop_address_complement_2","franchise_1","franchise_2","franchise_3","shop_name_public","shop_address_1","shop_address_2","population_attr_centre","siren.y","nic.y","franchise","carte_blanche","itelis","kalixia","sante_clair","seveane","promotion","audio_service","image date","website"
"174","48994175710","531","29027","Châteauneuf-du-Faou","Châteauneuf-du-Faou",11,"53","Bretagne","29","027","Châteauneuf-du-Faou",3775,48.1889732859,-3.82126129764,489941757,10,4.89942e+13,"01-04-2006",2019,2021-10-27 08:27:30,TRUE,"01-04-2006",5499,"OPTIC N.LAMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"2",2019,10,2021-10-27 08:27:30,"PME",2019,NA,"CHATEAUNEUF-DU-FAOU",NA,NA,NA,NA,NA,"5 RUE DE MORLAIX 29520","  ",7939,"489941757","10","vision plus",1,1,0,0,0,NA,0,2015-06-01,"https://www.lecollectifdeslunetiers.fr/opticien/france/finistere/opticien-chateauneuf-du-faou/chateauneuf-dufaou"
"175","49039412912","497","40310","Soustons","Soustons",11,"75","Nouvelle-Aquitaine","40","310","Soustons",8068,43.7498040758,-1.3280117155,490394129,12,4.90394e+13,"20-06-2006",2019,2021-11-07 20:04:55,TRUE,"20-06-2006",5499,"EURL ATOL MAUBANT","ATOL OPTICIENS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"2",2019,12,2021-11-07 20:04:55,"PME",2019,"CENTRE COMMERCIAL E.LECLERC","SOUSTONS",NA,NA,NA,NA,NA," RTE DE TOSSE 40140","  ",8920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","49048086025","593","43224","Sainte-Sigolène","Sainte-Sigolène",11,"84","Auvergne-Rhône-Alpes","43","224","Sainte-Sigolène",6058,45.2470426213,4.22851598334,490480860,25,4.90481e+13,"19-06-2006",NA,2019-11-14 14:00:38,TRUE,"06-06-2006",5499,"GALLO OPTICIENS",NA,"OPTIC 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"NN",NA,25,2019-06-24 13:25:19,"PME",2019,NA,"SAINTE-SIGOLENE",NA,"OPTIC 2000",NA,NA,NA,"13 RUE CHARLES DUPUY 43600","  ",6058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","49054445912","544","44087","Machecoul-Saint-Même","Machecoul-Saint-Même",11,"52","Pays de la Loire","44","087","Machecoul-Saint-Même",7716,46.9910784513,-1.82345670327,490544459,12,4.90544e+13,"13-06-2006",2019,2021-10-27 08:28:16,TRUE,"13-06-2006",5499,"OPTIC PAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"2",2019,12,2021-10-27 08:28:16,"PME",2019,NA,"MACHECOUL-SAINT-MEME",NA,NA,NA,NA,NA,"15 PL DES HALLES 44270","  ",7716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","49116865411","607","85215","Saint-Fulgent","Saint-Fulgent",11,"52","Pays de la Loire","85","215","Saint-Fulgent",3923,46.8705618525,-1.16246465678,491168654,11,4.91169e+13,"01-08-2006",2019,2021-10-27 08:29:07,TRUE,"01-08-2006",5499,"OPTIQUE SAINT FULGENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"1",2019,11,2021-10-27 08:29:07,"PME",2019,NA,"SAINT-FULGENT",NA,"VISUAL",NA,NA,NA,"  ZAC DE LA METAIRIE 85250","  ",5770,"491168654","11","optic 2000",0,0,0,0,0,NA,0,2021-04-30,"https://opticiens.optic2000.com/opticien-saint-fulgent-85250-2121"
"179","49121577829","616","32462","Vic-Fezensac","Vic-Fezensac",11,"76","Occitanie","32","462","Vic-Fezensac",3558,43.762029942,0.297842185088,491215778,29,4.91216e+13,"21-02-2012",2019,2021-10-27 08:29:11,FALSE,"01-08-2006",5499,"SARL LA LUNETTERIE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"2",2019,11,2021-10-27 08:29:11,"PME",2019,"VIC FEZENSAC","VIC-FEZENSAC",NA,"SARL LA LUNETTERIE",NA,NA,"SARL LA LUNETTERIE","32 AV EDMUND BERGES 32190","  ",5396,"491215778","29","vision plus",0,0,1,0,0,NA,0,2021-10-01,"https://www.lecollectifdeslunetiers.fr/opticien/france/gers/opticien-vic-fezensac/vic-fezensac"
"180","49133311817","496","64410","Mourenx","Mourenx",11,"75","Nouvelle-Aquitaine","64","410","Mourenx",6660,43.3740220656,-0.617464224458,491333118,17,4.91333e+13,"01-09-2006",2019,2021-10-27 08:29:21,TRUE,"01-09-2006",5499,"EMICAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,"N","2",2019,17,2022-02-02 03:58:56,"PME",2019,NA,"MOURENX",NA,"LES LUNETTES DE VALERIE",NA,NA,"LES LUNETTES DE VALERIE","2 PL PIERRE ET MARIE CURIE 64150","  ",8978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","49143774512","645","73006","Aime-la-Plagne","Aime-la-Plagne",11,"84","Auvergne-Rhône-Alpes","73","006","Aime-la-Plagne",4554,45.5525768932,6.61836974596,491437745,12,4.91438e+13,"09-08-2006",2019,2021-10-27 08:29:29,TRUE,"09-08-2006",5499,"AIME OPTIQUE",NA,"AIME OPTIQUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,"N","2",2019,12,2021-10-27 08:29:29,"PME",2019,NA,"AIME-LA-PLAGNE",NA,"AIME OPTIQUE",NA,NA,NA,"262  GRANDE RUE 73210","  ",4554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","49160288426","511","87011","Bellac","Bellac",11,"75","Nouvelle-Aquitaine","87","011","Bellac",3955,46.1049122554,1.04116467219,491602884,26,4.91603e+13,"15-07-2015",NA,2021-02-23 13:58:00,TRUE,"24-08-2006",5499,"VICHERY OPTIQUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"NN",NA,26,2017-08-04 03:58:02,"PME",2019,NA,"BELLAC",NA,NA,NA,NA,NA,"36 RUE THIERS 87300","  ",8696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","49192198713","519","47052","Casteljaloux","Casteljaloux",11,"75","Nouvelle-Aquitaine","47","052","Casteljaloux",4636,44.3114746788,0.0845386197153,491921987,13,4.91922e+13,"11-09-2006",2018,2020-08-25 10:37:07,TRUE,"11-09-2006",5499,"SARL OPTIQUE BENOIT ALARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"0",2018,13,2020-08-25 10:37:07,"PME",2019,NA,"CASTELJALOUX",NA,NA,NA,NA,NA,"60 RUE GRAND RUE 47700","  ",8380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","49193085529","476","59400","Merville","Merville",11,"32","Hauts-de-France","59","400","Merville",9811,50.6449293889,2.63582653422,491930855,29,4.91931e+13,"28-06-2019",2019,2021-10-27 08:30:09,TRUE,"18-09-2006",5499,"VALERIE OPTIQUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,"N","2",2019,29,2021-10-27 08:30:09,"PME",2019,NA,"MERVILLE",NA,"GRAND OPTICAL",NA,NA,NA,"1 PL DE LA LIBERATION 59660","  ",9811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","49196482112","581","28348","Saint-Lubin-des-Joncherets","Nonancourt - Saint-Lubin-des-Joncherets",11,"24","Centre-Val de Loire","28","348","Saint-Lubin-des-Joncherets",4050,48.7509228383,1.18734034626,491964821,12,4.91965e+13,"01-10-2006",NA,2019-11-14 14:00:29,TRUE,"01-10-2006",5499,"CONSEIL OPTIQUE","SOJM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"NN",NA,12,2020-07-09 10:41:35,"PME",2019,"GALERIE MARCHANDE","SAINT-LUBIN-DES-JONCHERETS",NA,NA,NA,NA,NA," RUE DE LA BARONNIE 28350","  ",6378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","49270182617","542","24551","Thiviers","Thiviers",11,"75","Nouvelle-Aquitaine","24","551","Thiviers",3033,45.4286304056,0.912184321254,492701826,17,4.92702e+13,"28-10-2006",2019,2021-10-27 08:31:15,TRUE,"28-10-2006",5710,"DUFRAISSE OPTICIENS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"3",2019,17,2021-10-27 08:31:15,"PME",2019,NA,"THIVIERS",NA,NA,NA,NA,NA,"2 RUE JEAN JAURES 24800","  ",7704,"492701826","17",NA,0,0,0,0,0,NA,0,2019-09-01,NA
"187","49350601824","622","51388","Mourmelon-le-Grand","Mourmelon-le-Grand",11,"44","Grand Est","51","388","Mourmelon-le-Grand",5132,49.1326106985,4.38710569439,493506018,24,4.93506e+13,"01-08-2015",2019,2021-10-27 08:32:39,TRUE,"29-12-2006",5499,"ENTREPRISE UNIPERSONNELLE A RESPONSABILITE LIMITEE  OPTIQUE DE MOURMELON LE GRAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"1",2019,24,2021-10-27 08:32:39,"PME",2019,NA,"MOURMELON-LE-GRAND",NA,NA,NA,NA,NA,"51 RUE DU GENERAL GOURAUD 51400","  ",5132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
